timestamp,value
2021-07-01,-0.8250684916413712
2021-07-02,-0.9340346131378704
2021-07-03,
2021-07-04,-0.9014036497698574
2021-07-05,-0.9901874315913471
2021-07-06,-0.8232059894013172
2021-07-07,-0.8674337407455456
2021-07-08,-1.0600592798677664
2021-07-09,-0.8074577162471681
2021-07-10,-1.0211793014396493
2021-07-11,-1.0114998051110784
2021-07-12,-0.949277823356888
2021-07-13,-0.870821278433173
2021-07-14,-0.9682525131003143
2021-07-15,-0.8099800470177018
2021-07-16,-0.8169792055811973
2021-07-17,-0.8319340361075291
2021-07-18,-0.8706138027860677
2021-07-19,-0.824957165094234
2021-07-20,-0.954872580333097
2021-07-21,-0.9191814150483107
2021-07-22,-0.7763897289474194
2021-07-23,-0.9449190188650116
2021-07-24,-0.7889959604417733
2021-07-25,-0.7585135718530871
2021-07-26,-0.639589365125561
2021-07-27,-0.8248699645305615
2021-07-28,-0.7819792749429086
2021-07-29,-0.7707801198026647
2021-07-30,-0.7615182509976922
2021-07-31,-0.7302480122975771
2021-08-01,-0.6446037921682224
2021-08-02,-0.8143433254291579
2021-08-03,-0.6640253065808736
2021-08-04,-0.6666505568744314
2021-08-05,-0.720175468964884
2021-08-06,-0.8163918561086777
2021-08-07,-0.5557658937718216
2021-08-08,-0.7452808110718412
2021-08-09,-0.6910278145514706
2021-08-10,-0.8453620292963426
2021-08-11,-0.7435203595395796
2021-08-12,-0.7038676603999744
2021-08-13,-0.7128161494914721
2021-08-14,
2021-08-15,-0.591685423097943
2021-08-16,-0.6524620510664949
2021-08-17,-0.6415910067541423
2021-08-18,-0.6493404629254989
2021-08-19,-0.6955351513416305
2021-08-20,-0.617247753072006
2021-08-21,-0.671852000358036
2021-08-22,-0.5537950980676011
2021-08-23,-0.5456942240153555
2021-08-24,
2021-08-25,-0.7431751865127199
2021-08-26,-0.6296801534420946
2021-08-27,-0.5553978564725968
2021-08-28,-0.5227531099202054
2021-08-29,
2021-08-30,-0.5669814156289066
2021-08-31,-0.5394126830360155
2021-09-01,-0.5576966672816162
2021-09-02,-0.410414969664766
2021-09-03,-0.579322667172681
2021-09-04,-0.416708118177357
2021-09-05,-0.4135772933888784
2021-09-06,-0.4471689770246143
